Pair_ID,Participant_ID,Role,Condition,mean_RR,std_RR,max_RR,mean_DET,mean_LAM,mean_RR_z,std_RR_z,max_RR_z,mean_DET_z,mean_LAM_z
L10F10,L10,Lead,closed,0.0288376130490956,0.0173495596298599,0.0703125,0.4913858006629916,0.6141289764713719,0.1940527340433568,-0.44871396446956896,-0.4691764022125984,-1.3028069421116415,-2.3676416364806663
L10F10,L10,Lead,open,0.0213320035460992,0.0143131859705519,0.0633680555555555,0.5399474642705275,0.684386933395283,-0.7484973086446524,-0.6248871274708595,-0.5632578259148049,-0.6403347110233453,-1.3817272483203502
L10F9,L10,Lead,closed,0.0205686822493224,0.0173477808113606,0.0716145833333333,0.4633647176930536,0.6556820919690163,-0.8443547497457928,-0.44881717313773345,-0.4515361352684352,-1.6850671031849616,-1.7845359465958481
L10F9,L10,Lead,open,0.0229530038759689,0.0141081154471109,0.0603298611111111,0.5440867718746972,0.757532263664854,-0.5449330372145967,-0.636785505867794,-0.6044184487845193,-0.5838667867393529,-0.35529498787747305
L11F11,L11,Lead,closed,0.01664153874269,0.011776727339286,0.046875,0.5859162631910617,0.7691814461597989,-1.3375231297874906,-0.7720547655914846,-0.7867012072075427,-0.013234020498201497,-0.19182458345751974
L11F11,L11,Lead,open,0.0279947916666666,0.0197303018238742,0.0642361111111111,0.617920595062646,0.7920909919949745,0.08821171877741728,-0.3105811357498918,-0.5514976479520285,0.4233651312690887,0.12966001208201813
L11F12,L11,Lead,closed,0.0240675403225806,0.0261179531526297,0.0876736111111111,0.5057821713922251,0.7105452872771805,-0.40497020342850465,0.06003620750315164,-0.23397284295708412,-1.1064134265672196,-1.014652847186223
L11F12,L11,Lead,open,0.0319733796296296,0.0299497832296703,0.1284722222222222,0.678358665312613,0.9014537240906106,0.5878404634958428,0.2823624757759344,0.3187555212933745,1.247853838343645,1.6643230712196544
L12F11,L12,Lead,closed,0.0418836805555555,0.0369930146993629,0.1375868055555555,0.4889035373118561,0.6967591172888998,1.8323702457944502,0.6910171754247129,0.4422373899025188,-1.3366696728793792,-1.2081111249979426
L12F11,L12,Lead,open,0.0305851063829787,0.0299383226324656,0.1345486111111111,0.5620828468345911,0.7139272295926609,0.4135019227855863,0.28169752149626387,0.40107676703280454,-0.3383665496415648,-0.9671947978101024
L12F12,L12,Lead,closed,0.0236454716435185,0.0163637472884648,0.0802951388888889,0.6199880073481222,0.8346061809058497,-0.4579733407897589,-0.5059116936676493,-0.3339343556406775,0.45156851491771355,0.7262662656339243
L12F12,L12,Lead,open,0.0262538580246913,0.0205080728778994,0.0954861111111111,0.6064761511953126,0.8829649865527088,-0.13041370769936922,-0.2654541513754802,-0.12813124129210268,0.26724143823356944,1.404874701872987
L1F1,L1,Lead,closed,0.0155164930555555,0.0122255931553891,0.0377604166666666,0.5531545584254476,0.7532599927982886,-1.4788057078394454,-0.746011162445467,-0.9101830758166886,-0.46016515996115037,-0.4152468211200293
L1F1,L1,Lead,open,0.0284973501461988,0.0202708080709375,0.0920138888888889,0.7552527880302808,0.8533901776145023,0.15132271811027523,-0.2792204714010909,-0.17517195314320538,2.296833985441521,0.9898579416952282
L1F2,L1,Lead,closed,0.0232834901433691,0.0219852809416553,0.0716145833333333,0.5805507219571718,0.7584715707168466,-0.5034307654375346,-0.1797451951654599,-0.4515361352684352,-0.08643007286037134,-0.3421138995281091
L1F2,L1,Lead,open,0.0440945095486111,0.0661588388665319,0.2569444444444444,0.7423782096413578,0.8572065485462139,2.1100048550754873,2.3832448363117016,2.05926185978418,2.1212005734859343,1.0434122318691677
L2F2,L2,Lead,closed,0.020059631642512,0.0172226133297689,0.0946180555555555,0.5056697173969517,0.709760861713556,-0.9082810266175048,-0.45607950432985067,-0.1398914192548791,-1.1079475101139797,-1.0256605178256595
L2F2,L2,Lead,open,0.0419308574879227,0.0277167476532268,0.1006944444444444,0.674482773031274,0.8545088921109396,1.8382946973128567,0.15279971942989257,-0.057570173515448825,1.1949793934352526,1.0055566150778823
L3F3,L3,Lead,closed,0.0219597387566137,0.0196182287545944,0.0811631944444444,0.5464776449732415,0.7571979924412037,-0.6696666887954579,-0.3170837172229458,-0.32217417767790246,-0.5512507905362122,-0.35998574211192613
L3F3,L3,Lead,open,0.0305851063829787,0.0260056065540853,0.1163194444444444,0.5592958813014073,0.8003072717642493,0.4135019227855863,0.053517755613236996,0.15411302981451408,-0.3763859900309164,0.2449572509478087
L3F4,L3,Lead,closed,0.020997299382716,0.0224246751790172,0.08203125,0.4622237225039734,0.6509875700544572,-0.790529261327342,-0.15425114163773046,-0.3104139997151262,-1.7006324189591446,-1.8504131355114077
L3F4,L3,Lead,open,0.0212854456018518,0.0146637492984609,0.0655381944444444,0.5299974030387999,0.7131978758190058,-0.7543440279977351,-0.6045471241512212,-0.5338573810078653,-0.7760722202841447,-0.9774296581873301
L4F3,L4,Lead,closed,0.0254189311594202,0.0260544676893391,0.1050347222222222,0.518586546565376,0.7802038281499434,-0.23526333412723854,0.056352723147324334,0.001230716298429925,-0.9317377182306449,-0.03714993204897373
L4F3,L4,Lead,open,0.0368730709876543,0.0316584724717,0.1341145833333333,0.5268524243261123,0.8863057684827721,1.2031408327490742,0.3815021806116212,0.3951966780514162,-0.8189756323533316,1.451755156653681
